"Product","LicenseKey","Total","Used","Metric","ExpirationDate","Info"
"Product Evaluation","00000-00000-00000-00000-00000","0",,"","",""
"VMware vSphere 6 Enterprise Plus","4042Q-8Y14L-E8F84-008HH-9D9P2","2","2","cpuPackage","",""
"VMware vSphere 6 Enterprise Plus","0003Q-8Y39J-E8685-029KP-9J346","2","2","cpuPackage","",""
"VMware vSphere 6 Enterprise Plus","N1617-DYL5K-98Y8E-090AM-C441P","2","2","cpuPackage","",""
"VMware vSphere 6 Enterprise Plus","JM695-8YL42-E8Z8D-090HK-A941K","2","2","cpuPackage","",""
"VMware vSphere 6 Enterprise Plus","40087-8YH9H-T8P8H-000H0-AJVQ7","4","4","cpuPackage","",""
"VMware vSphere 6 Enterprise Plus","N561N-DYL40-X8Y8E-0U08K-31F1P","2","2","cpuPackage","",""
"VMware vSphere 6 Enterprise Plus","04497-DYK40-X8Q8J-02926-CXJQ3","4","4","cpuPackage","",""
"VMware vSphere 6 Standard","MM037-FW25J-E8M80-0D9H4-8RRN1","8","8","cpuPackage","",""
"VMware vCenter Server 6 Standard","HM627-2C0D7-38Z92-081HM-AJMQ1","1","1","server","",""
"VMware vSphere 6 Enterprise Plus","NJ00Q-DYLD2-X8Z8T-0V3AM-1ETN7","4","4","cpuPackage","",""
"VMware vSphere 6 Enterprise Plus","NJ09Q-8Y3EH-E8Z8J-0RA8M-9MT73","4","4","cpuPackage","",""
"VMware vSphere 6 Enterprise Plus","0441Q-DYKDH-T8Y8H-029K4-AE3N3","4","4","cpuPackage","",""
